doc_num,doc_idx,category,layer,head,tokens,budget,budget_frac,H_mean,frac_H_ge_090,mu_s_norm_cv,full_norm_cv,mass_gap,UTC_abs_gap,UTC_rel_gap,UTC_rel_hat_gap,predicted,actual,correct,delta_rel_abs,delta_rel_hat_best,oracle_mean_k,mass_mean_k,abs_mean_k,rel_mean_k,rel_hat_mean_k,budget_ok
0,13,sci.space,0,0,128,8,0.0625,0.9666764908942366,0.9609375,0.1974766816673414,0.09410880046039409,-0.00813896592528256,0.3111468602700168,0.2500030094251036,0.5912375100489823,abs,abs,True,-0.061143850844913195,0.2800906497789655,9.984375,7.796875,7.8203125,8.484375,8.3046875,True
0,13,sci.space,0,0,128,16,0.125,0.9666764908942366,0.9609375,0.20609250583066846,0.09410880046039409,0.10907960025408425,0.3763564029985217,0.4325496969655102,0.6104606548556513,abs,rel,False,0.05619329396698852,0.17791095789014105,19.734375,16.59375,16.6953125,15.8671875,15.0859375,False
0,13,sci.space,0,0,128,24,0.1875,0.9666764908942366,0.9609375,0.20137479232020525,0.09410880046039409,0.05090378904707716,0.5350637124256132,0.5948877125682366,0.8145121336241345,abs,rel,False,0.059824000142623346,0.21962442105589797,19.734375,24.375,24.8359375,22.3359375,22.0859375,False
0,13,sci.space,0,1,128,8,0.0625,0.8554423756255443,0.234375,0.1906384406466585,0.252564604743478,0.3441319810526164,0.38560048909707983,0.0381813233124329,0.6446570145304178,abs,abs,True,-0.34741916578464693,0.25905652543333796,7.078125,7.4296875,7.5859375,7.953125,8.0234375,True
0,13,sci.space,0,1,128,16,0.125,0.8554423756255443,0.234375,0.19588164007685438,0.252564604743478,0.7222338228013965,0.43749003917603585,0.5567040101321348,0.5781936340842948,abs,rel,False,0.11921397095609892,0.02148962395216003,16.984375,16.2265625,15.84375,16.890625,14.765625,True
0,13,sci.space,0,1,128,24,0.1875,0.8554423756255443,0.234375,0.197182678369692,0.252564604743478,0.6539732910764757,0.5128839718013904,0.5244926251304269,0.6896136041621097,abs,rel,False,0.011608653329036489,0.16512097903168277,30.7734375,24.953125,25.0390625,24.5703125,24.78125,False
0,13,sci.space,0,2,128,8,0.0625,0.4536419171204019,0.0,0.43481882862328286,0.4739384931003813,0.7100089496185367,0.3664450812014973,0.8629423616917178,0.7114403989813756,abs,rel,False,0.49649728049022046,-0.15150196271034222,12.8828125,8.2421875,9.6328125,9.3359375,6.4765625,False
0,13,sci.space,0,2,128,16,0.125,0.4536419171204019,0.0,0.4504585586817664,0.4739384931003813,0.8717415239003062,0.5279995167624165,0.9179893291631215,0.862512253228201,abs,rel,False,0.38998981240070496,-0.05547707593492046,12.8828125,16.9453125,16.640625,13.828125,11.4921875,False
0,13,sci.space,0,2,128,24,0.1875,0.4536419171204019,0.0,0.45810137989432886,0.4739384931003813,1.0198148887457263,1.0786474434192297,1.1557017931187263,1.2771333257977437,abs,rel,False,0.07705434969949665,0.1214315326790174,12.8828125,22.640625,35.9453125,21.9609375,28.2265625,False
0,13,sci.space,0,3,128,8,0.0625,0.38366162960468875,0.0,0.2529271593981671,0.2739045049384542,0.8936040017683297,0.8351703157412039,1.0113150067002434,1.0226494889274362,abs,rel,False,0.1761446909590395,0.0113344822271928,6.5703125,8.15625,7.2578125,8.0078125,8.4296875,True
0,13,sci.space,0,3,128,16,0.125,0.38366162960468875,0.0,0.26314263727884507,0.2739045049384542,0.9662376635524774,0.9411145954209318,1.0709636960297997,1.1221616249469493,abs,rel,False,0.1298491006088679,0.05119792891714958,6.5703125,17.625,11.7421875,12.734375,20.5078125,False
0,13,sci.space,0,3,128,24,0.1875,0.38366162960468875,0.0,0.26753778087559005,0.2739045049384542,1.0996427952032537,1.12128997432141,1.1803709751779266,1.159163322347905,abs,rel,False,0.059081000856516575,-0.021207652830021573,6.5703125,35.4453125,27.3984375,28.9296875,20.5078125,False
0,13,sci.space,0,4,128,8,0.0625,0.9559001222112884,0.9765625,0.23075102957690563,0.12478118959172003,0.0,0.8216345916002213,-0.01810562204327089,0.919204281247505,abs,abs,True,-0.8397402136434923,0.09756968964728363,7.03125,8.53125,8.2265625,7.4609375,8.5078125,True
0,13,sci.space,0,4,128,16,0.125,0.9559001222112884,0.9765625,0.20207224036154942,0.12478118959172003,-0.41501566686200914,0.8899998246227021,-0.5230644960041003,1.1175177339334044,abs,abs,True,-1.4130643206268023,0.22751790931070226,12.109375,17.125,16.4609375,16.796875,16.65625,False
0,13,sci.space,0,4,128,24,0.1875,0.9559001222112884,0.9765625,0.1930435947145516,0.12478118959172003,-0.09007891375554929,0.5579886406398529,0.16650950963540018,0.6380631242698199,abs,abs,True,-0.3914791310044527,0.08007448362996705,21.8125,24.984375,21.1484375,23.2578125,21.5,False
0,13,sci.space,0,5,128,8,0.0625,0.8240008938640022,0.03125,0.2183941200863015,0.26835882259737864,0.2770352239675155,-0.35313105288646335,0.5510904593647812,0.8104385658066144,abs,rel,False,0.9042215122512445,0.25934810644183326,7.2578125,8.453125,7.9140625,8.6875,8.3046875,True
0,13,sci.space,0,5,128,16,0.125,0.8240008938640022,0.03125,0.22812162254578308,0.26835882259737864,0.5803669065454737,-0.8124366818635712,0.9905973861203791,1.4273721170749811,abs,rel,False,1.8030340679839503,0.43677473095460206,12.0078125,16.0234375,15.3671875,15.59375,18.3515625,False
0,13,sci.space,0,5,128,24,0.1875,0.8240008938640022,0.03125,0.2323828915075465,0.26835882259737864,0.5127072133798141,-0.16776168386983156,0.5970448476351004,0.9137745546591699,abs,rel,False,0.7648065315049319,0.31672970702406955,23.1796875,22.84375,25.8046875,22.421875,26.09375,False
0,13,sci.space,0,6,128,8,0.0625,0.9180477997659044,0.7890625,0.17909256921989977,0.19777262013733662,-0.6617096024887289,0.63402503201196,-0.21419675708999683,0.569648719485195,abs,abs,True,-0.8482217891019569,-0.06437631252676501,9.0,7.3203125,8.5546875,8.6015625,7.859375,True
0,13,sci.space,0,6,128,16,0.125,0.9180477997659044,0.7890625,0.17936289433766314,0.19777262013733662,-0.8670615137725931,0.6291905939367257,-0.03283362396800716,0.8161150611055338,abs,abs,True,-0.6620242179047329,0.18692446716880806,15.5625,15.8125,16.3359375,16.765625,17.859375,True
0,13,sci.space,0,6,128,24,0.1875,0.9180477997659044,0.7890625,0.18522943734737618,0.19777262013733662,0.07383651716779167,0.3681094197772651,0.4443402368022264,0.5002097273039978,abs,rel,False,0.07623081702496132,0.055869490501771424,31.0546875,24.734375,21.359375,25.125,22.890625,False
0,13,sci.space,0,7,128,8,0.0625,0.9110482881423229,0.734375,0.2720729278556265,0.279177974111614,0.2687538652593688,0.5113221399725636,0.2687538652593688,0.7155998852445041,abs,abs,True,-0.2425682747131948,0.20427774527194054,8.8828125,8.109375,7.796875,8.5390625,8.625,True
0,13,sci.space,0,7,128,16,0.125,0.9110482881423229,0.734375,0.24522833673708716,0.279177974111614,0.4652437987455812,0.17082453305041942,0.5044018772713534,0.6259227677473803,abs,rel,False,0.333577344220934,0.12152089047602688,15.203125,16.8828125,14.015625,17.0625,15.0,True
0,13,sci.space,0,7,128,24,0.1875,0.9110482881423229,0.734375,0.24003080847221547,0.279177974111614,0.4490184073166437,0.42002244930290666,0.5457456696040645,0.8606158412563705,abs,rel,False,0.1257232203011578,0.314870171652306,25.1796875,23.7265625,24.421875,25.46875,27.09375,False
0,13,sci.space,0,8,128,8,0.0625,0.7901516802139499,0.0,0.11475139707606735,0.15007786996757916,0.10937622946532623,0.3299850651799672,0.30152209037016187,0.5427061974053223,abs,abs,True,-0.028462974809805308,0.21272113222535516,8.7734375,7.9765625,8.15625,7.671875,8.296875,True
0,13,sci.space,0,8,128,16,0.125,0.7901516802139499,0.0,0.12532646150302373,0.15007786996757916,0.3562600483607601,0.33554223315576576,0.47643531445107246,0.8308854662859211,abs,rel,False,0.1408930812953067,0.3544501518348486,15.4375,15.8046875,14.7578125,15.1484375,16.2265625,True
0,13,sci.space,0,8,128,24,0.1875,0.7901516802139499,0.0,0.13107828351928438,0.15007786996757916,0.29926507428074606,0.42647516115222883,0.45464521255459217,0.25139140034560015,abs,rel,False,0.02817005140236334,-0.20325381220899202,40.890625,25.2265625,26.3828125,24.7421875,22.3671875,False
0,13,sci.space,0,9,128,8,0.0625,0.8957720594375211,0.546875,0.3121558055467947,0.25074229704904843,0.10702820020867837,0.5589878676326807,-0.2220830987792995,0.6213992514111597,abs,abs,True,-0.7810709664119801,0.06241138377847899,8.375,7.640625,8.4140625,7.8203125,7.3125,True
0,13,sci.space,0,9,128,16,0.125,0.8957720594375211,0.546875,0.28343317921467537,0.25074229704904843,0.06147136343262922,0.5903920705860102,0.3091634464009678,0.96971006486446,abs,abs,True,-0.28122862418504235,0.3793179942784498,13.5703125,16.1328125,15.7890625,15.4453125,16.8203125,False
0,13,sci.space,0,9,128,24,0.1875,0.8957720594375211,0.546875,0.2646221617280287,0.25074229704904843,0.15122256943889256,0.5474984348538605,0.5806404394215021,0.7513460435046108,abs,rel,False,0.0331420045676416,0.17070560408310864,23.3828125,23.3828125,24.7890625,23.9765625,21.3828125,False
0,13,sci.space,0,10,128,8,0.0625,0.3184745841243027,0.0,0.281445046896639,0.3004902435555057,1.0762151453580393,0.8168468062619905,1.0433452147942002,1.0762151453580393,abs,rel,False,0.2264984085322097,0.032869930563839134,5.171875,9.1875,7.546875,8.1875,8.9140625,False
0,13,sci.space,0,10,128,16,0.125,0.3184745841243027,0.0,0.2914396957998636,0.3004902435555057,1.232055664882889,1.0304852808189513,1.2881687438123524,1.319834405289004,abs,rel,False,0.25768346299340106,0.03166566147665173,5.171875,14.421875,12.03125,16.9296875,21.1328125,False
0,13,sci.space,0,10,128,24,0.1875,0.3184745841243027,0.0,0.2949757724699666,0.3004902435555057,1.3999299410532993,1.3560623667029181,1.4505961694123704,1.3968410563229776,abs,rel,False,0.09453380270945222,-0.053755113089392736,5.171875,29.8515625,26.6640625,33.1875,21.1328125,False
0,13,sci.space,0,11,128,8,0.0625,0.7649307897849258,0.0,0.38686454408461685,0.5240074851309161,0.4207705443930319,-0.4242697371052685,0.452340912043338,0.6692020178401519,abs,rel,False,0.8766106491486065,0.2168611057968139,9.796875,8.1484375,7.515625,8.625,8.9296875,True
0,13,sci.space,0,11,128,16,0.125,0.7649307897849258,0.0,0.4314046682008155,0.5240074851309161,0.4972681309613409,-0.04866100507064377,0.6082662970405779,0.8670388413228445,abs,rel,False,0.6569273021112216,0.2587725442822666,18.234375,15.921875,16.8828125,16.25,18.2734375,False
0,13,sci.space,0,11,128,24,0.1875,0.7649307897849258,0.0,0.4548459361942885,0.5240074851309161,0.8483567906361333,-0.4850073051908727,1.072144036617531,1.9124605771620837,abs,rel,False,1.5571513418084038,0.8403165405445527,18.234375,23.421875,24.5078125,22.3046875,30.2734375,False
0,13,sci.space,5,0,128,8,0.0625,0.3635174803287711,0.0,0.6632952620074263,0.6577516119730574,-0.7343985854607368,-1.4709098563919158,0.4832436248925014,0.7636567098615468,abs,rel,False,1.9541534812844172,0.2804130849690454,9.0234375,7.5546875,6.8515625,6.1640625,8.0546875,True
0,13,sci.space,5,0,128,16,0.125,0.3635174803287711,0.0,0.6561778869455955,0.6577516119730574,0.14169331793209916,-0.7028406990028541,1.1484061549753095,1.3931422500127348,abs,rel,False,1.8512468539781635,0.24473609503742533,9.0234375,14.453125,15.109375,14.5703125,17.390625,False
